xdienstverband	xfunctie	dienstverband	functie
0	1	 	php / actionscript 3.0 developer                                                                                                                                                                        
0	1	 	designer 3gpp ps core                                                                                                                                                                                   
0	1	 	senior interaction designer voor anwb                                                                                                                                                                   
0	2	 	coördinator service desk it                                                                                                                                                                             
0	1	 	senior systeembeheerder gezocht voor een interne functie in zoetermeer                                                                                                                                  
0	1	 	packager                                                                                                                                                                                                
0	1	 	wo java ontwikkelaars                                                                                                                                                                                   
0	3	 	software engineer (m/f) ft flight systems                                                                                                                                                               
0	1	 	naast programmeren ook veel vrijheid en ruimte voor eigen inbreng?                                                                                                                                      
0	1	 	english speaking archiving assistant                                                                                                                                                                    
0	1	 	developer php javascript/html/css                                                                                                                                                                       
0	1	 	medium/ senior systeembeheerder                                                                                                                                                                         
0	1	 	informatieconsultant                                                                                                                                                                                    
0	2	 	java webdeveloper opensource                                                                                                                                                                            
0	1	 	c# software engineer                                                                                                                                                                                    
0	2	 	implementatie manager / projectmanager gemeentelijke overheid                                                                                                                                           
0	1	 	tijdelijk customer support medewerker                                                                                                                                                                   
0	1	 	lead c++ programmeur                                                                                                                                                                                    
0	1	 	med/senior php ontwikkelaar                                                                                                                                                                             
0	1	 	ben jij de .net developer uit omgeving amsterdam ?                                                                                                                                                      
0	1	 	helpdeskmedewerker it                                                                                                                                                                                   
0	1	 	medior qa engineer uit amsterdam gezocht!                                                                                                                                                               
0	1	 	project manager 3 (landscape)                                                                                                                                                                           
0	1	 	c# developer                                                                                                                                                                                            
0	1	 	java developer, 40 uur                                                                                                                                                                                  
0	1	 	(online) marketeer                                                                                                                                                                                      
0	1	 	software developer 2d /3d                                                                                                                                                                               
0	2	 	.net developer (medior)                                                                                                                                                                                 
0	1	 	medior of hoger php ontwikkelaar                                                                                                                                                                        
0	1	 	network engineer in de randstad (ccna/ccnp/ccie)                                                                                                                                                        
0	1	 	senior (web) developer                                                                                                                                                                                  
0	1	 	technical support engineer                                                                                                                                                                              
0	1	 	business intelligence beheerder / sql developer                                                                                                                                                         
0	4	 	business intelligence consultant                                                                                                                                                                        
0	1	 	business intelligence analist                                                                                                                                                                           
0	1	 	.net ontwikkelaar met teamspirit - utrecht - 70k                                                                                                                                                        
0	2	 	technisch consultant microsoft.net                                                                                                                                                                      
0	1	 	accountmanager online marketing                                                                                                                                                                         
0	1	 	constructeur fijnmechanisch                                                                                                                                                                             
0	2	 	medior java ontwikkelaar                                                                                                                                                                                
0	1	 	financieel administratief medewerker bij ultimo software solutions                                                                                                                                      
0	1	 	java / webdeveloper                                                                                                                                                                                     
0	3	 	junior linux server & network administrator                                                                                                                                                             
0	1	 	webdeveloper                                                                                                                                                                                            
0	1	 	project engineer                                                                                                                                                                                        
0	2	 	developer                                                                                                                                                                                               
0	2	 	java developer magnolia cms                                                                                                                                                                             
0	1	 	junior technicians with a hackers mentality                                                                                                                                                             
0	1	 	technisch helpdesk medewerker                                                                                                                                                                           
0	1	 	senior test consultants                                                                                                                                                                                 
0	1	 	c++ developer haarlem €35-65k interest in mathematics? international company.                                                                                                                           
0	3	 	senior systeembeheerder windows                                                                                                                                                                         
0	1	 	business intelligence (reporting)  specialist                                                                                                                                                           
0	1	 	conversiespecialist                                                                                                                                                                                     
0	2	 	microsoft system center specialist scom sccm                                                                                                                                                            
0	1	 	ict accountmanager                                                                                                                                                                                      
0	2	 	senior database marketeer                                                                                                                                                                               
0	1	 	gezocht linux systeembeheerder met affiniteit voor development (medior/senior)                                                                                                                          
0	1	 	data analist met bi kennis                                                                                                                                                                              
0	1	 	operationeel beheerder                                                                                                                                                                                  
0	1	 	technical marketing engineer                                                                                                                                                                            
0	1	 	ervaren php specialist voor efficiënte maatwerkapplicaties                                                                                                                                              
0	1	 	vmware specialist                                                                                                                                                                                       
0	2	 	junior java developer                                                                                                                                                                                   
0	2	 	projectleider ict                                                                                                                                                                                       
0	6	 	medior php developer                                                                                                                                                                                    
0	2	 	new business accountmanager crm                                                                                                                                                                         
0	1	 	manager software ontwikkeling en test                                                                                                                                                                   
0	1	 	storage specialist                                                                                                                                                                                      
0	1	 	java software engineer amsterdam €40k-€72k – the best and the brightest!                                                                                                                                
0	1	 	uniek! traineeship amsterdam. frontend / javascript (angularjs) development.                                                                                                                            
0	1	 	software implementation consultant                                                                                                                                                                      
0	1	 	accountmanager it/ict bij ultimo software solutions                                                                                                                                                     
0	1	 	oracle ebs consultant                                                                                                                                                                                   
0	3	 	php programmeur                                                                                                                                                                                         
0	3	 	systeembeheerder windows omgeving                                                                                                                                                                       
0	2	 	software ontwikkelaar                                                                                                                                                                                   
0	1	 	fulltime php programmeur 32-40u                                                                                                                                                                         
0	1	 	administratief medewerker hoofddorp                                                                                                                                                                     
0	1	 	software architect                                                                                                                                                                                      
0	1	 	consultant zaaksysteem                                                                                                                                                                                  
0	1	 	procam talent wings: applicatie ontwikkelaar                                                                                                                                                            
0	1	 	php developer - vakanties                                                                                                                                                                               
0	1	 	junior oracle dba                                                                                                                                                                                       
0	2	 	junior c# .net developer                                                                                                                                                                                
0	2	 	asp.net developer met mvc                                                                                                                                                                               
0	1	 	sql dba / database developer                                                                                                                                                                            
0	1	 	engagement manager it diensten                                                                                                                                                                          
0	2	 	senior software engineer complexe webprojecten                                                                                                                                                          
0	2	 	huis aan huis expert in ict en multimedia voor diverse serviceproviders                                                                                                                                 
0	1	 	senior sap workflow consultant                                                                                                                                                                          
0	1	 	product manager                                                                                                                                                                                         
0	1	 	sharepoint beheerder                                                                                                                                                                                    
0	2	 	ervaren php developer                                                                                                                                                                                   
0	4	 	zelfstandige plc programmeur                                                                                                                                                                            
0	1	 	pre sales consultant infrastructuur                                                                                                                                                                     
0	2	 	senior technisch systeemontwerper                                                                                                                                                                       
0	2	 	technisch consultant dynamics nav2013                                                                                                                                                                   
0	1	 	junior php webdeveloper                                                                                                                                                                                 
0	1	 	business intelligence developer / engineer                                                                                                                                                              
0	1	 	senior  c#  developer  voor mediabedrijf                                                                                                                                                                
0	4	 	programmeur                                                                                                                                                                                             
0	1	 	software engineer voor html5                                                                                                                                                                            
0	1	 	junior/medior .net webdeveloper centrum amsterdam                                                                                                                                                       
0	1	 	oracle database administrator rac, dataguard en rman                                                                                                                                                    
0	1	 	web developer - 40 uur - nijmegen                                                                                                                                                                       
0	1	 	medewerker technische helpdesk leeuwarden                                                                                                                                                               
0	1	 	web developer                                                                                                                                                                                           
0	1	 	frontend developer                                                                                                                                                                                      
0	1	 	junior accountmanager met doorgroeimogelijkheden                                                                                                                                                        
0	1	 	sql dba                                                                                                                                                                                                 
0	1	 	medior .net ontwikkelaar e-commerce                                                                                                                                                                     
0	1	 	medior bi developer                                                                                                                                                                                     
0	1	 	senior netwerk /  systeembeheerder met leidinggevende ervaring gezocht in de omgeving eindhoven                                                                                                         
0	1	 	senior netwerkengineer                                                                                                                                                                                  
0	1	 	senior corporate recruiter                                                                                                                                                                              
0	1	 	junior / medior business intelligence developer ( ssis en ssas )                                                                                                                                        
0	1	 	citrixbeheerder                                                                                                                                                                                         
0	1	 	account manager - german - frankfurt                                                                                                                                                                    
0	1	 	sales executive hardware                                                                                                                                                                                
0	1	 	c# / mvc ontwikkelaar voor de leukste werkgever                                                                                                                                                         
0	1	 	online sales medewerker binnendienst                                                                                                                                                                    
0	2	 	business analyst                                                                                                                                                                                        
0	1	 	technisch applicatiebeheerder citrix                                                                                                                                                                    
0	1	 	cloudspecialist thuis in hosting en security                                                                                                                                                            
0	1	 	microsoft systeembeheerder in aalsmeer                                                                                                                                                                  
0	2	 	c# ontwikkelaar webapplicaties productgroepen                                                                                                                                                           
0	1	 	java software engineer                                                                                                                                                                                  
0	1	 	front end ontwikkelaar                                                                                                                                                                                  
0	1	 	senior java-scala developer                                                                                                                                                                             
0	3	 	systeembeheerder                                                                                                                                                                                        
0	1	 	citrix specialist                                                                                                                                                                                       
0	1	 	junior android developer                                                                                                                                                                                
0	2	 	project manager                                                                                                                                                                                         
0	2	 	web ontwikkelaar (c# & java)                                                                                                                                                                            
0	1	 	applicatie ontwikkelaar, zevenaar, 40 uur                                                                                                                                                               
0	1	 	servicedeskmedewerker                                                                                                                                                                                   
0	1	 	java developer / support engineer                                                                                                                                                                       
0	1	 	windows specialist                                                                                                                                                                                      
0	1	 	crm new business accountmanager                                                                                                                                                                         
0	1	 	junior financial controller                                                                                                                                                                             
0	1	 	senior .net-c# developer voor software bureau nijmegen                                                                                                                                                  
0	1	 	senior netwerkspecialist                                                                                                                                                                                
0	1	 	accountmanager erp                                                                                                                                                                                      
0	1	 	php backend application developer                                                                                                                                                                       
0	2	 	oracle-dba er                                                                                                                                                                                           
0	1	 	medior .net developer                                                                                                                                                                                   
0	1	 	programmeur c# en viper developer                                                                                                                                                                       
0	1	 	executive assistant to the ceo                                                                                                                                                                          
0	1	 	sre application engineer                                                                                                                                                                                
0	1	 	microsoft senior systeem & netwerkbeheerder                                                                                                                                                             
0	2	 	storage beheerder , consultant                                                                                                                                                                          
0	1	 	senior oracle dba met rac                                                                                                                                                                               
0	1	 	medior systeembeheerder                                                                                                                                                                                 
0	3	 	developer java                                                                                                                                                                                          
0	1	 	junior technical sales                                                                                                                                                                                  
0	1	 	helpdeskmedewerker                                                                                                                                                                                      
0	1	 	medior / senior php developer                                                                                                                                                                           
0	1	 	junior verkoper                                                                                                                                                                                         
0	1	 	accountmanager infrastructuur ict oplossingen                                                                                                                                                           
0	1	 	ict traineeship, 40 uur, utrecht, m/v                                                                                                                                                                   
0	1	 	net ontwikkelaar                                                                                                                                                                                        
0	1	 	account manager binnendienst                                                                                                                                                                            
0	1	 	medior/senior php programmeur                                                                                                                                                                           
0	1	 	coo serious gaming                                                                                                                                                                                      
0	1	 	wordpress ontwikkelaar                                                                                                                                                                                  
0	1	 	junior programmeur (24 u.p.w.)                                                                                                                                                                          
0	1	 	senior application support engineer                                                                                                                                                                     
0	1	 	spoed: junior linux system engineer (min 1-2 jaar ervaring)                                                                                                                                             
0	1	 	backend developer .net voor bedrijf in de medische branche                                                                                                                                              
0	2	 	leaddeveloper .net (scrum)                                                                                                                                                                              
0	1	 	medior/senior citrix consultants!                                                                                                                                                                       
0	2	 	support-engineer (mbo/hbo)                                                                                                                                                                              
0	1	 	techneut gezocht in uden voor een software bedrijf in scrum team                                                                                                                                        
0	1	 	account manager new business                                                                                                                                                                            
0	1	 	innovatief bedrijf in hartje utrecht zoekt medior php developer!                                                                                                                                        
0	1	 	field sales representative (verkoper buitendienst)                                                                                                                                                      
0	1	 	senior .net developer gezocht omgeving utrecht                                                                                                                                                          
0	1	 	c# .net developer in de medische sector bij een marktleider                                                                                                                                             
0	1	 	microsoft .net consultant                                                                                                                                                                               
0	2	 	microsoft .net engineer                                                                                                                                                                                 
0	1	 	control engineer                                                                                                                                                                                        
0	1	 	business consultant erp                                                                                                                                                                                 
0	1	 	bi sales consultant                                                                                                                                                                                     
0	1	 	medior/senior php ontwikkelaar                                                                                                                                                                          
0	1	 	accountmanager                                                                                                                                                                                          
0	1	 	medior .net developer voor it bedrijf in enschede                                                                                                                                                       
0	2	 	sales account executive (inside sales) in network hardware (english native speaker)                                                                                                                     
0	2	 	senior java ontwikkelaar                                                                                                                                                                                
0	1	 	javascript kartrekker gezocht!                                                                                                                                                                          
0	2	 	senior systeembeheerder                                                                                                                                                                                 
0	1	 	bi developer                                                                                                                                                                                            
0	1	 	web and graphics designer                                                                                                                                                                               
0	1	 	senior windows systeem- en netwerkbeheerder met ervaring in tcp/ip                                                                                                                                      
0	1	 	datawarehouse consultant                                                                                                                                                                                
0	2	 	senior c# .net developer/ software architect                                                                                                                                                            
0	1	 	development manager - 40 uur                                                                                                                                                                            
0	1	 	.net programmeur voor informele organisatie                                                                                                                                                             
0	1	 	software engineer voor ios                                                                                                                                                                              
0	1	 	medior/senior c# developer voor online webbureau utrecht                                                                                                                                                
0	1	 	analytische business intelligence consultant                                                                                                                                                            
0	1	 	online business manager                                                                                                                                                                                 
0	4	 	english speaking second line technical support                                                                                                                                                          
0	1	 	international business developer                                                                                                                                                                        
0	1	 	asp.net developer met xml / html affiniteit - zoetermeer                                                                                                                                                
0	1	 	php; maak online misdaad tastbaar met jouw code!                                                                                                                                                        
0	1	 	medior / senior sql database beheerder / engineer                                                                                                                                                       
0	1	 	helpdeskmedewerkers (telefonisch) in de ict gezocht in zwolle!                                                                                                                                          
0	1	 	junior helpdeskmedewerker                                                                                                                                                                               
0	1	 	plc programmeur                                                                                                                                                                                         
0	1	 	medior .net c# webprogrammeur | automotive                                                                                                                                                              
0	1	 	projectleider serious gaming                                                                                                                                                                            
0	1	 	french sales representative                                                                                                                                                                             
0	2	 	ict engineer sales                                                                                                                                                                                      
0	1	 	system engineer                                                                                                                                                                                         
0	1	 	oracle dba ebs                                                                                                                                                                                          
0	1	 	technisch business analist (junior)                                                                                                                                                                     
0	1	 	java developer                                                                                                                                                                                          
0	3	 	php developer                                                                                                                                                                                           
0	1	 	database administrator (mysql + mssql)                                                                                                                                                                  
0	2	 	junior database applicatie engineer                                                                                                                                                                     
0	1	 	backend development vb.net/ c#/ asp.net in veghel                                                                                                                                                       
0	1	 	interne functie voor de zelfstandige qa engineer!                                                                                                                                                       
0	1	 	financiële software verkoper                                                                                                                                                                            
0	1	 	afwisselende baan als c# developer                                                                                                                                                                      
0	2	 	medior tester                                                                                                                                                                                           
0	1	 	mobile computer engineer                                                                                                                                                                                
0	1	 	junior / medior java ontwikkelaar                                                                                                                                                                       
0	1	 	sales manager new business, 40 uur, nijmegen                                                                                                                                                            
0	1	 	onexs zoekt medior c#,asp.net developer                                                                                                                                                                 
0	1	 	ruby on rails developer                                                                                                                                                                                 
0	1	 	senior account manager sittard                                                                                                                                                                          
0	2	 	java developer - high tech solutions for electrica! - 80k + car                                                                                                                                         
0	2	 	junior .net ontwikkelaar                                                                                                                                                                                
0	1	 	bi & analytics sales executive                                                                                                                                                                          
0	1	 	ervaren c# developer                                                                                                                                                                                    
0	1	 	junior developer regio tilburg asp.net, c#, mvc                                                                                                                                                         
0	1	 	hybride developer php/.net                                                                                                                                                                              
0	3	 	web-ontwikkelaars (mbo/hbo)                                                                                                                                                                             
0	1	 	fulltime support consultant te montfoort                                                                                                                                                                
0	1	 	asp.net ontwikkelaar                                                                                                                                                                                    
0	1	 	medior c# web programmeur                                                                                                                                                                               
0	1	 	cognos specialist                                                                                                                                                                                       
0	1	 	marktleider zoekt sterke medior / senior programmeur hartje utrecht                                                                                                                                     
0	1	 	senior c# .net developer                                                                                                                                                                                
0	1	 	manager application solutions delivery                                                                                                                                                                  
0	3	 	senior java developer                                                                                                                                                                                   
0	1	 	test consultant, goeroe in automatisch testen                                                                                                                                                           
0	1	 	php webapplicatie specialist                                                                                                                                                                            
0	2	 	test coördinator                                                                                                                                                                                        
0	2	 	senior php backend webdeveloper                                                                                                                                                                         
0	11	 	stage                                                                                                                                                                                                   
0	1	 	supply chain analyst                                                                                                                                                                                    
0	1	 	commercieel medewerker binnendienst met ict kennis                                                                                                                                                      
0	1	 	pre sales functie gecompliceerde ict oplossingen                                                                                                                                                        
0	1	 	medior .net / c# developer                                                                                                                                                                              
0	2	 	senior consultant                                                                                                                                                                                       
0	1	 	profit zoekt per direct embedded software engineer (locatie utrecht en omstreken)                                                                                                                       
0	1	 	packaging engineer                                                                                                                                                                                      
0	1	 	exchange 2010 specialist                                                                                                                                                                                
0	1	 	medior business intelligence consultant                                                                                                                                                                 
0	1	 	sap basis consultant                                                                                                                                                                                    
0	1	 	medior linux server & network administrator                                                                                                                                                             
0	1	 	ontwikkelaar java                                                                                                                                                                                       
0	1	 	microsoft system engineer                                                                                                                                                                               
0	1	 	ict service monteur                                                                                                                                                                                     
0	1	 	sr. programmeur .net / c# (pre is kennis van: visual studio, sql server, scrum, rup, linq, mvc)                                                                                                         
0	2	 	ruby on rails ontwikkelaar                                                                                                                                                                              
0	1	 	sales account executive (inside sales) in network hardware (german native speaker)                                                                                                                      
0	1	 	manager facilities & services                                                                                                                                                                           
0	2	 	backend e-commerce developer                                                                                                                                                                            
0	1	 	technical lead drupal backenders                                                                                                                                                                        
0	3	 	asp.net lead web developer                                                                                                                                                                              
0	1	 	allround systeembeheerder                                                                                                                                                                               
0	1	 	business intelligence developer intern voor medior                                                                                                                                                      
0	1	 	service desk medewerker                                                                                                                                                                                 
0	1	 	business developer platformen                                                                                                                                                                           
0	1	 	business intelligence qlikview | accountmanager                                                                                                                                                         
0	2	 	programmeur (labview, of een oo taal (als c++, java, .net))                                                                                                                                             
0	1	 	helpdesk technicians                                                                                                                                                                                    
0	1	 	medior netwerkspecialist                                                                                                                                                                                
0	1	 	allround ict medewerker                                                                                                                                                                                 
0	1	 	junior asp.net programmeur                                                                                                                                                                              
0	1	 	medior webdeveloper                                                                                                                                                                                     
0	1	 	medior/ senior webdeveloper asp.net regio sliedrecht                                                                                                                                                    
0	1	 	springsource specialist                                                                                                                                                                                 
0	2	 	oproepkracht mediadesk                                                                                                                                                                                  
0	1	 	german technical customer service representative                                                                                                                                                        
0	2	 	senior php developer                                                                                                                                                                                    
0	3	 	telefonisch verkoopadviseur                                                                                                                                                                             
0	2	 	(senior) test engineer                                                                                                                                                                                  
0	1	 	medior/senior php/magento developer                                                                                                                                                                     
0	1	 	java frontend developer                                                                                                                                                                                 
0	2	 	business developer                                                                                                                                                                                      
0	1	 	desktop applicaties bouwen als delphi/ c# developer regio den bosch                                                                                                                                     
0	1	 	general manager development center                                                                                                                                                                      
0	6	 	software engineer                                                                                                                                                                                       
0	1	 	test engineer                                                                                                                                                                                           
0	1	 	junior sql database beheerder / developer in amersfoort                                                                                                                                                 
0	1	 	ssrs / informatie analist                                                                                                                                                                               
0	2	 	senior .net developer, work on cto level, amsterdam, 75k                                                                                                                                                
0	1	 	front end ontwikkelaar (tijdelijk)                                                                                                                                                                      
0	1	 	ben jij de medior sharepoint consultants                                                                                                                                                                
0	1	 	accountmanager new business                                                                                                                                                                             
0	1	 	accountmanager ict                                                                                                                                                                                      
0	2	 	softwareontwikkelaar m/v                                                                                                                                                                                
0	1	 	senior linux systeembeheerder                                                                                                                                                                           
0	1	 	accountmanager ict / senior account manager                                                                                                                                                             
0	1	 	medior php applicatie ontwikkelaar                                                                                                                                                                      
0	1	 	applicatie packagers  - vast dienstverband! (leaseauto + topsalaris)                                                                                                                                    
0	2	 	consultant mobile                                                                                                                                                                                       
0	2	 	senior c# ontwikkelaar                                                                                                                                                                                  
0	1	 	senior campagne manager                                                                                                                                                                                 
0	1	 	windows system engineer                                                                                                                                                                                 
0	1	 	hosting-security en networking specialist                                                                                                                                                               
0	2	 	sr. systeem- & netwerkbeheerder                                                                                                                                                                         
0	2	 	programmeur/ontwikkelaar (junior)                                                                                                                                                                       
0	1	 	cisco netwerk engineer                                                                                                                                                                                  
0	1	 	ben jij de gepassioneerde .net ontwikkelaar uit de regio breda                                                                                                                                          
0	1	 	freelance (junior) front-end developer                                                                                                                                                                  
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
